"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2025","121.74","120.50","123.00","118.06","29.30M","0.70%"
"07/01/2025","120.89","122.35","123.99","119.08","24.83M","-1.91%"
"06/30/2025","123.25","124.89","125.08","121.85","22.80M","-1.21%"
"06/27/2025","124.76","125.14","127.54","123.39","36.89M","-0.98%"
"06/26/2025","126.00","129.53","129.85","123.79","62.68M","-0.98%"
"06/25/2025","127.25","126.61","127.50","125.62","39.41M","-0.52%"
"06/24/2025","127.91","125.11","128.10","124.96","26.42M","4.78%"
"06/23/2025","122.08","123.67","124.51","119.81","23.40M","-1.23%"
"06/20/2025","123.60","122.77","124.16","120.38","29.29M","1.46%"
"06/18/2025","121.82","120.46","122.98","120.18","20.18M","1.23%"
"06/17/2025","120.34","119.60","123.51","119.35","20.84M","0.42%"
"06/16/2025","119.84","117.81","120.96","117.32","21.37M","3.67%"
"06/13/2025","115.60","113.80","117.10","113.66","17.45M","-0.50%"
"06/12/2025","116.18","114.11","116.48","113.52","17.08M","0.13%"
"06/11/2025","116.03","115.60","117.26","114.73","21.61M","1.66%"
"06/10/2025","114.14","111.53","114.92","111.23","22.95M","2.88%"
"06/09/2025","110.95","109.51","112.53","108.58","20.16M","2.20%"
"06/06/2025","108.56","108.08","111.05","108.04","20.71M","2.14%"
"06/05/2025","106.29","106.30","109.03","105.53","28.86M","2.94%"
"06/04/2025","103.25","102.38","103.91","101.70","14.60M","0.98%"
"06/03/2025","102.25","98.36","102.93","96.96","22.76M","4.15%"
"06/02/2025","98.18","94.58","99.24","94.40","16.85M","3.94%"
"05/30/2025","94.46","96.04","96.61","92.22","23.76M","-2.42%"
"05/29/2025","96.80","98.59","99.63","96.11","14.64M","0.64%"
"05/28/2025","96.18","96.70","97.21","95.60","10.50M","-0.21%"
"05/27/2025","96.38","95.18","96.70","94.19","17.61M","3.22%"
"05/23/2025","93.37","92.26","93.84","90.93","16.54M","-1.54%"
"05/22/2025","94.83","95.41","97.22","94.37","13.25M","-1.05%"
"05/21/2025","95.84","97.16","98.82","95.26","15.76M","-2.30%"
"05/20/2025","98.10","97.92","98.63","96.97","12.33M","-0.56%"
"05/19/2025","98.65","95.71","99.02","95.70","14.38M","0.66%"
"05/16/2025","98.00","95.90","98.19","95.70","22.61M","2.67%"
"05/15/2025","95.45","94.01","95.61","92.17","24.20M","0.14%"
"05/14/2025","95.32","96.30","97.65","94.32","28.04M","-1.66%"
"05/13/2025","96.93","92.54","97.41","92.54","28.01M","5.03%"
"05/12/2025","92.29","92.81","94.20","91.95","27.77M","7.49%"
"05/09/2025","85.86","85.57","86.27","84.68","13.02M","0.83%"
"05/08/2025","85.15","84.25","86.21","83.36","17.58M","3.06%"
"05/07/2025","82.62","80.99","82.87","80.20","14.92M","2.62%"
"05/06/2025","80.51","79.04","81.21","78.54","13.17M","0.11%"
